Title,Price (£),Availability,Rating
A Light in the Attic,1.77,In stock,Three
Tipping the Velvet,3.74,In stock,One
Soumission,0.10,In stock,One
Sharp Objects,7.82,In stock,Four
Sapiens: A Brief History of Humankind,4.23,In stock,Five
The Requiem Red,2.65,In stock,One
The Dirty Little Secrets of Getting Your Dream Job,3.34,In stock,Four
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",7.93,In stock,Three
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,2.60,In stock,Four
The Black Maria,2.15,In stock,One
"Starving Hearts (Triangular Trade Trilogy, #1)",3.99,In stock,Two
Shakespeare's Sonnets,0.66,In stock,Four
Set Me Free,7.46,In stock,Five
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),2.29,In stock,Five
Rip it Up and Start Again,5.02,In stock,Five
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",7.25,In stock,Three
Olio,3.88,In stock,One
Mesaerion: The Best Science Fiction Stories 1800-1849,7.59,In stock,One
Libertarianism for Beginners,1.33,In stock,Two
It's Only the Himalayas,5.17,In stock,Two
In Her Wake,2.84,In stock,One
How Music Works,7.32,In stock,Two
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",0.52,In stock,Three
Chase Me (Paris Nights #2),5.27,In stock,Five
Black Dust,4.53,In stock,Five
Birdsong: A Story in Pictures,4.64,In stock,Three
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,2.50,In stock,Three
Aladdin and His Wonderful Lamp,3.13,In stock,Three
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,0.30,In stock,Five
Wall and Piece,4.18,In stock,Four
The Four Agreements: A Practical Guide to Personal Freedom,7.66,In stock,Five
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,1.05,In stock,Three
The Elephant Tree,3.82,In stock,Five
The Bear and the Piano,6.89,In stock,One
Sophie's World,5.94,In stock,Five
Penny Maybe,3.29,In stock,Three
Maude (1883-1993):She Grew Up with the country,8.02,In stock,Two
"In a Dark, Dark Wood",9.63,In stock,One
Behind Closed Doors,2.22,In stock,Four
You can't bury them all: Poems,3.63,In stock,Two
Slow States of Collapse: Poems,7.31,In stock,Three
Reasons to Stay Alive,6.41,In stock,Two
Private Paris (Private #10),7.61,In stock,Five
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,3.11,In stock,Five
Without Borders (Wanderlove #1),5.07,In stock,Two
When We Collided,1.77,In stock,One
"We Love You, Charlie Freeman",0.27,In stock,Five
Untitled Collection: Sabbath Poems 2014,4.27,In stock,Four
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",4.18,In stock,Four
Unicorn Tracks,8.78,In stock,Three
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",5.52,In stock,One
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),6.28,In stock,One
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,1.12,In stock,Three
This One Summer,9.49,In stock,Four
Thirst,7.27,In stock,Five
The Torch Is Passed: A Harding Family Story,9.09,In stock,One
The Secret of Dreadwillow Carse,6.13,In stock,One
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",6.41,In stock,One
The Past Never Ends,6.50,In stock,Four
The Natural History of Us (The Fine Art of Pretending #2),5.22,In stock,Three
The Nameless City (The Nameless City #1),8.16,In stock,Four
The Murder That Never Was (Forensic Instincts #5),4.11,In stock,Three
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,2.96,In stock,Four
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",3.89,In stock,Four
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,6.77,In stock,Three
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",0.59,In stock,Five
The Gutsy Girl: Escapades for Your Life of Epic Adventure,7.13,In stock,One
The Electric Pencil: Drawings from Inside State Hospital No. 3,6.06,In stock,One
The Death of Humanity: and the Case for Life,8.11,In stock,Four
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",9.05,In stock,Three
The Art Forger,0.76,In stock,Three
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,9.73,In stock,One
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,2.24,In stock,Five
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,1.83,In stock,Four
Soul Reader,9.58,In stock,Two
Security,9.25,In stock,Two
"Saga, Volume 6 (Saga (Collected Editions) #6)",5.02,In stock,Three
"Saga, Volume 5 (Saga (Collected Editions) #5)",1.04,In stock,Two
Reskilling America: Learning to Labor in the Twenty-First Century,9.83,In stock,Two
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",0.40,In stock,Three
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",3.61,In stock,Five
Princess Between Worlds (Wide-Awake Princess #5),3.34,In stock,Five
"Pop Gun War, Volume 1: Gift",8.97,In stock,One
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",6.28,In stock,Two
Patience,0.16,In stock,Three
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",5.44,In stock,Four
orange: The Complete Collection 1 (orange: The Complete Collection #1),8.41,In stock,One
Online Marketing for Busy Authors: A Step-By-Step Guide,6.35,In stock,One
On a Midnight Clear,4.07,In stock,Three
Obsidian (Lux #1),4.86,In stock,Two
My Paris Kitchen: Recipes and Stories,3.37,In stock,Two
Masks and Shadows,6.40,In stock,Two
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",4.02,In stock,Four
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",6.91,In stock,Two
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",5.61,In stock,Three
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),9.92,In stock,Two
"Layered: Baking, Building, and Styling Spectacular Cakes",0.11,In stock,One
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),3.90,In stock,Two
Join,5.67,In stock,Five
In the Country We Love: My Family Divided,2.00,In stock,Four
